"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 28 18:15:06 CST 2020","Mon Sep 28 18:15:11 CST 2020","5173","","test_recharge","","","","test_bank",""
"passed","Mon Sep 28 18:14:57 CST 2020","Mon Sep 28 18:15:02 CST 2020","5251","","test_recharge","","","","test_weixinscan",""
"passed","Mon Sep 28 18:15:36 CST 2020","Mon Sep 28 18:15:37 CST 2020","238","","test_recharge","","","","test_weixinpdd_failed",""
"passed","Mon Sep 28 18:15:16 CST 2020","Mon Sep 28 18:15:21 CST 2020","5040","","test_recharge","","","","test_alipaybank",""
"passed","Mon Sep 28 18:14:11 CST 2020","Mon Sep 28 18:14:16 CST 2020","5390","","test_recharge","","","","test_alipaypdd",""
"passed","Mon Sep 28 18:15:37 CST 2020","Mon Sep 28 18:15:37 CST 2020","310","","test_recharge","","","","test_alipayh5_failed",""
"passed","Mon Sep 28 18:14:23 CST 2020","Mon Sep 28 18:14:28 CST 2020","5082","","test_recharge","","","","test_weixinpdd",""
"passed","Mon Sep 28 18:15:38 CST 2020","Mon Sep 28 18:15:38 CST 2020","324","","test_recharge","","","","test_wechatbank_failed",""
"passed","Mon Sep 28 18:15:36 CST 2020","Mon Sep 28 18:15:36 CST 2020","223","","test_recharge","","","","test_alipaypdd_failed",""
"passed","Mon Sep 28 18:15:38 CST 2020","Mon Sep 28 18:15:38 CST 2020","420","","test_recharge","","","","test_alipaybank_failed",""
"passed","Mon Sep 28 18:15:37 CST 2020","Mon Sep 28 18:15:38 CST 2020","207","","test_recharge","","","","test_bank_failed",""
"passed","Mon Sep 28 18:15:31 CST 2020","Mon Sep 28 18:15:36 CST 2020","5040","","test_recharge","","","","test_wechatbank",""
"passed","Mon Sep 28 18:15:37 CST 2020","Mon Sep 28 18:15:37 CST 2020","225","","test_recharge","","","","test_wapbank_failed",""
"passed","Mon Sep 28 18:15:37 CST 2020","Mon Sep 28 18:15:37 CST 2020","233","","test_recharge","","","","test_weixinscan_failed",""
"passed","Mon Sep 28 18:14:43 CST 2020","Mon Sep 28 18:14:53 CST 2020","9265","","test_recharge","","","","test_wapbank",""
"passed","Mon Sep 28 18:14:32 CST 2020","Mon Sep 28 18:14:38 CST 2020","5184","","test_recharge","","","","test_alipayh5",""
